timestamp_ms,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z
0,0.45972785353660583,0.22505229711532593,-0.7465137243270874,0.47842663526535034,0.1852654218673706,-0.7079277634620667,0.4883834719657898,0.18465667963027954,-0.7083783745765686,0.49647271633148193,0.18517369031906128,-0.7085869312286377,0.44677576422691345,0.18948352336883545,-0.7095014452934265,0.4372217059135437,0.19134658575057983,-0.7094139456748962,0.42788296937942505,0.19403338432312012,-0.7098985314369202,0.5132684707641602,0.20743584632873535,-0.43074747920036316,0.42031919956207275,0.21702104806900024,-0.42632216215133667,0.4836995303630829,0.2724382281303406,-0.6397489905357361,0.4437717795372009,0.27703434228897095,-0.6391358971595764,0.6065153479576111,0.5016977190971375,-0.24131269752979279,0.34653323888778687,0.4868907928466797,-0.24712729454040527,0.6416333913803101,0.8490639328956604,-0.177538201212883,0.30690500140190125,0.8396562933921814,-0.16682039201259613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.45979413390159607,0.224887415766716,-0.7249462604522705,0.47809019684791565,0.18541830778121948,-0.6909904479980469,0.4882684051990509,0.18480321764945984,-0.6912952065467834,0.4964677393436432,0.18520036339759827,-0.691413164138794,0.4466647803783417,0.18962129950523376,-0.6960832476615906,0.4370947480201721,0.191460981965065,-0.6961166858673096,0.4278791844844818,0.1940750926733017,-0.6966055631637573,0.5128710865974426,0.20744527876377106,-0.42995789647102356,0.4203665852546692,0.21701133251190186,-0.4348132014274597,0.48371899127960205,0.2719195485115051,-0.6247624158859253,0.4437083303928375,0.2764195203781128,-0.6287481188774109,0.6065165400505066,0.4986090064048767,-0.23349793255329132,0.34582817554473877,0.48748475313186646,-0.2906078100204468,0.6416975259780884,0.8512102365493774,-0.13205339014530182,0.3064080476760864,0.8395711779594421,-0.2426862120628357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.46006250381469727,0.2217811495065689,-0.7209304571151733,0.47808539867401123,0.18441267311573029,-0.687372624874115,0.48828125,0.18373778462409973,-0.6876461505889893,0.4964578449726105,0.1837402880191803,-0.6877472996711731,0.44666609168052673,0.18879662454128265,-0.6937531232833862,0.4370993971824646,0.19082637131214142,-0.6937633156776428,0.4278695285320282,0.1933870166540146,-0.6942600011825562,0.5124814510345459,0.20603865385055542,-0.4295724630355835,0.4202996790409088,0.2158878743648529,-0.44213274121284485,0.48373469710350037,0.2675592303276062,-0.6211983561515808,0.44368237257003784,0.27314987778663635,-0.6268063187599182,0.6065475344657898,0.4963264763355255,-0.23138278722763062,0.3454263508319855,0.48741117119789124,-0.3148871660232544,0.6431556940078735,0.8526715636253357,-0.12896747887134552,0.3062230944633484,0.842429518699646,-0.27402517199516296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.4604308307170868,0.22227515280246735,-0.7604078650474548,0.47810742259025574,0.18455350399017334,-0.7252253890037537,0.4883008301258087,0.18384169042110443,-0.7255058288574219,0.4964652359485626,0.18390971422195435,-0.7255891561508179,0.44676637649536133,0.18899184465408325,-0.7323510646820068,0.43716365098953247,0.19120492041110992,-0.7323371767997742,0.4278814196586609,0.19393505156040192,-0.7328706979751587,0.5122559070587158,0.2062464952468872,-0.4535284638404846,0.42024943232536316,0.21674154698848724,-0.4749980866909027,0.48390573263168335,0.2675802409648895,-0.6540605425834656,0.4437159597873688,0.2731633484363556,-0.6613081693649292,0.6065378189086914,0.4968912899494171,-0.23684373497962952,0.3446621000766754,0.48744314908981323,-0.31980597972869873,0.6419810056686401,0.8555225133895874,-0.13505791127681732,0.30537843704223633,0.8444908261299133,-0.26882949471473694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.46043574810028076,0.21958573162555695,-0.790693998336792,0.47807031869888306,0.183063343167305,-0.7548315525054932,0.4883039593696594,0.1824837625026703,-0.755147397518158,0.4964800477027893,0.18268047273159027,-0.755220353603363,0.4466444253921509,0.1868591159582138,-0.7632337808609009,0.43700966238975525,0.18904997408390045,-0.7632592916488647,0.4276217818260193,0.19198985397815704,-0.7638413310050964,0.5122402310371399,0.2057880163192749,-0.4770590364933014,0.41999438405036926,0.21621283888816833,-0.5051239132881165,0.4839351773262024,0.26597851514816284,-0.6827697157859802,0.44367095828056335,0.27063193917274475,-0.6912956237792969,0.6066357493400574,0.4969066381454468,-0.24612532556056976,0.34422606229782104,0.48780354857444763,-0.3482891917228699,0.6429010629653931,0.8597835302352905,-0.130182683467865,0.3055691123008728,0.8496611714363098,-0.3008746802806854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0.4604454040527344,0.22180905938148499,-0.8245943188667297,0.47797998785972595,0.1836918443441391,-0.7896128296852112,0.4882645308971405,0.18310965597629547,-0.7899040579795837,0.49650928378105164,0.18333138525485992,-0.7899624109268188,0.4465261399745941,0.18803998827934265,-0.7981703281402588,0.4368254244327545,0.19044047594070435,-0.79819655418396,0.4273613691329956,0.19325540959835052,-0.7987595796585083,0.5121340751647949,0.2066909670829773,-0.5082446336746216,0.41970011591911316,0.217112734913826,-0.5388584136962891,0.4839433431625366,0.26747408509254456,-0.7138127088546753,0.44360679388046265,0.27140915393829346,-0.7228905558586121,0.6066528558731079,0.49746477603912354,-0.26479068398475647,0.3426210582256317,0.489793062210083,-0.3684227764606476,0.6427191495895386,0.8626487851142883,-0.13398604094982147,0.30358225107192993,0.8547166585922241,-0.3147217631340027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.46036699414253235,0.22182103991508484,-0.8202343583106995,0.47776177525520325,0.1836981326341629,-0.7748494744300842,0.4881691634654999,0.18311427533626556,-0.7752147912979126,0.49649524688720703,0.18331925570964813,-0.7753384113311768,0.4462197721004486,0.18795077502727509,-0.7826957702636719,0.4364031255245209,0.19027899205684662,-0.7826296091079712,0.4269627034664154,0.19308222830295563,-0.7831553816795349,0.5119410157203674,0.20643840730190277,-0.4931175410747528,0.4194595217704773,0.2167670875787735,-0.5146865844726562,0.4838719666004181,0.26756978034973145,-0.7033230066299438,0.44324079155921936,0.2714275121688843,-0.7117936015129089,0.6070054173469543,0.4969717562198639,-0.26616060733795166,0.3422059714794159,0.4898073971271515,-0.3483920991420746,0.6449471116065979,0.8629261255264282,-0.14865869283676147,0.30354639887809753,0.8548197150230408,-0.2903813421726227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,0.4603663682937622,0.2149483859539032,-0.7813864946365356,0.47769325971603394,0.17909081280231476,-0.7420937418937683,0.48816603422164917,0.17877617478370667,-0.7423837184906006,0.49649661779403687,0.1789964735507965,-0.7424637675285339,0.4460681080818176,0.1821753978729248,-0.7483597993850708,0.43618544936180115,0.18422500789165497,-0.748446524143219,0.42665669322013855,0.18676841259002686,-0.7489980459213257,0.5119208097457886,0.20292945206165314,-0.47790881991386414,0.41929686069488525,0.21261322498321533,-0.4991799294948578,0.48387476801872253,0.2626352906227112,-0.6764509081840515,0.44319239258766174,0.26642507314682007,-0.6828595995903015,0.6069568395614624,0.49694961309432983,-0.25913703441619873,0.34214869141578674,0.48978090286254883,-0.34203892946243286,0.6452190279960632,0.8629338145256042,-0.15312500298023224,0.3030344843864441,0.8579959273338318,-0.2852572500705719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,0.4604930281639099,0.2151031345129013,-0.7105750441551208,0.4776619076728821,0.17888963222503662,-0.6767361760139465,0.48813220858573914,0.17859314382076263,-0.6769933700561523,0.496529757976532,0.1788795292377472,-0.6770992279052734,0.4460606575012207,0.18219855427742004,-0.6821791529655457,0.43618297576904297,0.1843106746673584,-0.682158350944519,0.42664921283721924,0.18682615458965302,-0.6826037168502808,0.5118898153305054,0.20300361514091492,-0.4263058006763458,0.4192855954170227,0.21295039355754852,-0.44164079427719116,0.4841162860393524,0.2627257704734802,-0.6128074526786804,0.4433191120624542,0.26640355587005615,-0.6173292994499207,0.6076745390892029,0.49697479605674744,-0.2268301099538803,0.34220510721206665,0.4910084009170532,-0.3042673170566559,0.6537303328514099,0.8627110719680786,-0.126686230301857,0.3021310567855835,0.8593565225601196,-0.2284085750579834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,0.4604807496070862,0.21679289638996124,-0.6878948211669922,0.47737646102905273,0.1792031079530716,-0.6526525020599365,0.48768800497055054,0.1788855642080307,-0.6528953313827515,0.4964199662208557,0.17922720313072205,-0.6530483365058899,0.44596874713897705,0.18290308117866516,-0.6557262539863586,0.43613919615745544,0.18521973490715027,-0.6556630730628967,0.42656654119491577,0.18784739077091217,-0.6560720801353455,0.5115429759025574,0.20377737283706665,-0.3929639458656311,0.4192412495613098,0.2135828584432602,-0.39726999402046204,0.48398467898368835,0.26349177956581116,-0.5878950953483582,0.44325926899909973,0.26702985167503357,-0.5893487930297852,0.6077317595481873,0.49692681431770325,-0.20612122118473053,0.34217336773872375,0.49102529883384705,-0.23373708128929138,0.6593807339668274,0.8526594638824463,-0.11403403431177139,0.296282559633255,0.8533876538276672,-0.14034782350063324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
